series,location,keywords,numpages,articleno,booktitle,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,pages,month,journal,issn,number,volume,issue_date,note
ICIT '24,,"Hyperledger Fabric, CICD, Chaincode, Kubernetes",10.0,,Proceedings of the 2024 the 12th International Conference on Information Technology (ICIT),10.1145/3718391.3718393,https://doi.org/10.1145/3718391.3718393,"New York, NY, USA",Association for Computing Machinery,9798400717376.0,2025,ChainKode: A CICD methodology for chaincode development in Hyperledger Fabric based on Kubernetes,"Witharanage, Yasiru Rathsara and Figueroa-Lorenzo, Santiago and Mohammadzadeh, Nasibeh and Arrizabalaga, Saioa",inproceedings,10.1145/3718391.3718393,8–17,,,,,,,
,"Melbourne, Victoria, Australia",,,,,,,,IEEE Press,9798350322637.0,2023,ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,,proceedings,10.5555/3606013,,,,,,,,
ICBDIE '25,,"Cloud computing, Higher vocational education, Platform design, Resource sharing",5.0,,Proceedings of the 2025 International Conference on Big Data and Informatization Education,10.1145/3729605.3729613,https://doi.org/10.1145/3729605.3729613,"New York, NY, USA",Association for Computing Machinery,9798400714405.0,2025,Design and Implementation of a Higher Vocational Education Resource Sharing Platform Based on Cloud Computing,"Wang, Ling and Du, Xiao",inproceedings,10.1145/3729605.3729613,39–43,,,,,,,
,,"Industrial Internet, industrial situational security, attack behavior, feature analysis, combinatorial optimization",20.0,8.0,,10.1145/3637554,https://doi.org/10.1145/3637554,"New York, NY, USA",Association for Computing Machinery,,2024,A Combinatorial Optimization Analysis Method for Detecting Malicious Industrial Internet Attack Behaviors,"Zhao, Kejing and Zhang, Zhiyong and Raymond Choo, Kim-Kwang and Zhang, Zhongya and Zhang, Tiantian",article,10.1145/3637554,,January,ACM Trans. Cyber-Phys. Syst.,2378-962X,1,8.0,January 2024,
ICSE-JSEET '21,"Virtual Event, Spain","Agile software development, DevOps, FOSS, OSS, education, emerging domains of software, empirical software engineering, open source, tools and environments",10.0,,Proceedings of the 43rd International Conference on Software Engineering: Joint Track on Software Engineering Education and Training,10.1109/ICSE-SEET52601.2021.00024,https://doi.org/10.1109/ICSE-SEET52601.2021.00024,,IEEE Press,9780738133201.0,2021,Qualifying software engineers undergraduates in DevOps - challenges of introducing technical and non-technical concepts in a project-oriented course,"Alves, Isaque and Rocha, Carla",inproceedings,10.1109/ICSE-SEET52601.2021.00024,144–153,,,,,,,
EASE '23,"Oulu, Finland","Challenging Factors, DevOps, DevOps manager, Mitigation strategy, Taxonomy, management challenges",8.0,,Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3593434.3594240,https://doi.org/10.1145/3593434.3594240,"New York, NY, USA",Association for Computing Machinery,9798400700446.0,2023,A Study on Management Challenges and Practices in DevOps,"Faaiz, Syed Muhammad and Khan, Saif-Ur-Rehman and Hussain, Shahid and Wang, Wen-Li and Ibrahim, Naseem",inproceedings,10.1145/3593434.3594240,430–437,,,,,,,
,,"Serverless computing, architecture design, FaaS, Lambda paradigm",34.0,220.0,,10.1145/3508360,https://doi.org/10.1145/3508360,"New York, NY, USA",Association for Computing Machinery,,2022,The Serverless Computing Survey: A Technical Primer for Design Architecture,"Li, Zijun and Guo, Linsong and Cheng, Jiagan and Chen, Quan and He, Bingsheng and Guo, Minyi",article,10.1145/3508360,,September,ACM Comput. Surv.,0360-0300,10s,54.0,January 2022,
FSE Companion '25,"Clarion Hotel Trondheim, Trondheim, Norway","hot fix, hot patch",11.0,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3728564,https://doi.org/10.1145/3696630.3728564,"New York, NY, USA",Association for Computing Machinery,9798400712760.0,2025,"Behind the Hot Fix: Demystifying Hot Fixing Industrial Practices at Z\""{u}hlke and Beyond","Hanna, Carol and Elliman, David and Emmerich, Wolgang and Sarro, Federica and Petke, Justyna",inproceedings,10.1145/3696630.3728564,411–421,,,,,,,
ICSE-SEIP '22,"Pittsburgh, Pennsylvania","npm, software ecosystem, supply chain security, weak link signal",10.0,,Proceedings of the 44th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3510457.3513044,https://doi.org/10.1145/3510457.3513044,"New York, NY, USA",Association for Computing Machinery,9781450392266.0,2022,What are weak links in the npm supply chain?,"Zahan, Nusrat and Zimmermann, Thomas and Godefroid, Patrice and Murphy, Brendan and Maddila, Chandra and Williams, Laurie",inproceedings,10.1145/3510457.3513044,331–340,,,,,,,
,"Irvine, CA, USA",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400716041.0,2025,DESTION '25: Proceedings of the 7th Workshop on Design Automation for CPS and IoT,,proceedings,10.1145/3722573,,,,,,,,
