"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kukalo I.A.; Grivtsov S.N.","Kukalo, Ivan A. (57194142609); Grivtsov, Sergey N. (57194143630)","57194142609; 57194143630","Linear referencing of moving object geo-coordinates to the linear part of the main oil pipelines","2015","Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering","326","11","","31","43","12","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85019255752&partnerID=40&md5=628eb0552f8ec9bc83079f51673ae9c8","Article","Final","","Scopus","2-s2.0-85019255752"
"Sun J.; Zhang J.; Wang X.","Sun, Jiedi (9232803200); Zhang, Jinquan (55414753700); Wang, Xiaojun (55413574200)","9232803200; 55414753700; 55413574200","Multi-sensor data fusion and target location in pipeline monitoring and a pre-warning system based on multi-seismic sensors","2013","ICPTT 2012: Better Pipeline Infrastructure for a Better Life - Proceedings of the International Conference on Pipelines and Trenchless Technology 2012","","","","961","974","13","5","10.1061/9780784412619.099","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84876107841&doi=10.1061%2f9780784412619.099&partnerID=40&md5=d6fc00415b82c2e1478d3a3860b488f8","Conference paper","Final","","Scopus","2-s2.0-84876107841"
"Singh V.; Singh A.; Aggarwal A.; Aggarwal S.; Chaudhary H.","Singh, Vinay (58455730000); Singh, Amarjeet (58730385500); Aggarwal, Alok (57198156094); Aggarwal, Shalini (57195869266); Chaudhary, Himanshu (57207499184)","58455730000; 58730385500; 57198156094; 57195869266; 57207499184","Improving Business Deliveries for Micro-services-based Systems using CI/CD and Jenkins","2023","Journal of Mines, Metals and Fuels","71","4","","545","551","6","4","10.18311/jmmf/2023/33936","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85180475720&doi=10.18311%2fjmmf%2f2023%2f33936&partnerID=40&md5=335d7da075fa18978699d18e59c197fd","Article","Final","","Scopus","2-s2.0-85180475720"
"Zhu J.; Li X.; Zheng W.","Zhu, Jin (56086403100); Li, Xiaolong (55870142800); Zheng, Wei (54783626500)","56086403100; 55870142800; 54783626500","Design of early warning system for underground pipeline safety based on wireless sensor network","2017","Proceedings - 2017 Chinese Automation Congress, CAC 2017","2017-January","","","95","98","3","5","10.1109/CAC.2017.8242743","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85050334906&doi=10.1109%2fCAC.2017.8242743&partnerID=40&md5=36c720644633db703ab4100b405a3c3f","Conference paper","Final","","Scopus","2-s2.0-85050334906"
"","","","Proceedings of the 2025 Workshop on Design Automation for CPS and IoT, DESTION 2025, 2025 Cyber-Physical Systems and Internet-of-Things Week, CPS-IoT Week 2025 Workshops","2025","Proceedings of the 2025 Workshop on Design Automation for CPS and IoT, DESTION 2025, 2025 Cyber-Physical Systems and Internet-of-Things Week, CPS-IoT Week 2025 Workshops","","","","","","67","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105011036225&partnerID=40&md5=2c12e836722431c7181ecd495e26a0ea","Conference review","Final","","Scopus","2-s2.0-105011036225"
"Yan Y.; Yang D.-S.; Geng D.-X.; Hu S.; Wang Z.-A.; Hu W.; Yin S.-Y.","Yan, Yan (57203541892); Yang, Da-shen (57212408124); Geng, Dong-xian (55749138800); Hu, Sheng (55978691800); Wang, Zi-ang (57212411730); Hu, Wang (16636608300); Yin, Shu-yao (57212405539)","57203541892; 57212408124; 55749138800; 55978691800; 57212411730; 16636608300; 57212405539","Disaster reduction stick equipment: A method for monitoring and early warning of pipeline-landslide hazards","2019","Journal of Mountain Science","16","12","","2687","2700","13","19","10.1007/s11629-019-5613-6","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85076598180&doi=10.1007%2fs11629-019-5613-6&partnerID=40&md5=3a427bcf9e392a76d2a46563f2edd758","Article","Final","","Scopus","2-s2.0-85076598180"
"Choban T.V.; Zhirnov A.A.; Stepanov K.V.; Khan R.I.; Koshelev K.I.; Pnev A.B.; Karasik V.E.","Choban, T.V. (58984499200); Zhirnov, A.A. (57191243822); Stepanov, K.V. (56501728000); Khan, R.I. (57225130027); Koshelev, K.I. (56501776700); Pnev, A.B. (57195514871); Karasik, V.E. (57203832911)","58984499200; 57191243822; 56501728000; 57225130027; 56501776700; 57195514871; 57203832911","Sensitivity of Distributed Acoustic Sensor Based on Sagnac Interferometer","2022","2022 International Conference Laser Optics, ICLO 2022 - Proceedingss","","","","","","","3","10.1109/ICLO54117.2022.9839896","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85136397857&doi=10.1109%2fICLO54117.2022.9839896&partnerID=40&md5=09f246381b92b5dc87e7658628fdb720","Conference paper","Final","","Scopus","2-s2.0-85136397857"
"Edwards F.L.; Goodrich D.C.","Edwards, Frances L. (55209498500); Goodrich, Daniel C. (57195851823)","55209498500; 57195851823","Introduction to Transportation Security: Second Edition","2024","Introduction to Transportation Security: Second Edition","","","","1","432","431","0","10.4324/9781003461722","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85181786771&doi=10.4324%2f9781003461722&partnerID=40&md5=9ae00e4f460cd20c7121b8e315b5fd7a","Book","Final","","Scopus","2-s2.0-85181786771"
"Ileanwa O.P.; Ngozi E.O.; Chigozie U.P.; Eyo A.A.","Ileanwa, Ocheja Patrick (57126401000); Ngozi, Ezeanyagu Obianuju (57220216351); Chigozie, Udeh Paschal (57126215700); Eyo, Abu Abu (57126191800)","57126401000; 57220216351; 57126215700; 57126191800","Design of a coordinates aware remote module for effective oil and gas pipeline monitoring using GPRS, GPS and google maps on android devices","2015","Society of Petroleum Engineers - SPE Nigeria Annual International Conference and Exhibition, NAICE 2015","","","","","","","0","10.2118/178391-ms","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85088195263&doi=10.2118%2f178391-ms&partnerID=40&md5=67cb3e3c60cd4b7e7f767de26a38ba80","Conference paper","Final","","Scopus","2-s2.0-85088195263"
"Svelto C.; Pniov A.; Zhirnov A.; Nesterov E.; Stepanov K.; Karassik V.; Galzerano G.; Laporta P.","Svelto, Cesare (7004656681); Pniov, Alexey (57195514871); Zhirnov, Andrey (57191243822); Nesterov, Evgenii (39861985100); Stepanov, Konstantin (56501728000); Karassik, Valery (57203832911); Galzerano, Gianluca (7004269640); Laporta, Paolo (56259775200)","7004656681; 57195514871; 57191243822; 39861985100; 56501728000; 57203832911; 7004269640; 56259775200","Online monitoring of gas&oil pipeline by distributed optical fiber sensors","2019","Offshore Mediterranean Conference and Exhibition 2019, OMC 2019","","","","","","","5","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85066795636&partnerID=40&md5=dddfd18743255bb8b4456a6723a9ad58","Conference paper","Final","","Scopus","2-s2.0-85066795636"
